,Date,Country,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,1594439450,PF,teahupoo,75,61,-17.83,-149.27,80.6,10.29
1,1594439450,CN,urumqi,95,34,43.8,87.6,80.6,8.95
2,1594439451,RU,bolshaya izhora,90,93,59.94,29.58,60.01,4.47
3,1594439451,CA,cap-aux-meules,50,83,47.38,-61.86,63.25,10.87
4,1594439451,AR,comodoro rivadavia,75,56,-45.87,-67.5,41.0,16.11
5,1594439451,TO,vaini,75,78,-21.2,-175.2,73.4,12.75
6,1594439179,AR,ushuaia,20,94,-54.8,-68.3,32.0,4.7
7,1594439452,AU,esperance,90,66,-33.87,121.9,55.4,6.93
8,1594439452,RE,saint-philippe,20,82,-21.36,55.77,66.2,6.93
9,1594439452,PF,rikitea,56,65,-23.12,-134.97,67.98,15.88
10,1594439452,NO,korgen,44,93,66.08,13.82,46.0,3.09
11,1594439452,ZA,hermanus,96,86,-34.42,19.23,51.01,8.99
12,1594439452,PF,atuona,16,79,-9.8,-139.03,79.79,20.24
13,1594439452,NA,walvis bay,3,93,-22.96,14.51,54.0,4.7
14,1594439452,GL,qaanaaq,98,73,77.48,-69.36,43.14,8.9
15,1594439452,BR,arraial do cabo,45,76,-22.97,-42.03,69.73,18.05
16,1594439452,MV,hithadhoo,81,73,-0.6,73.08,83.84,9.6
17,1594439452,GT,champerico,87,89,14.3,-91.92,76.32,5.06
18,1594439452,RU,okhotsk,73,76,59.38,143.3,59.97,6.64
19,1594439452,BR,carutapera,78,93,-1.2,-46.02,75.02,5.5
20,1594439452,CK,avarua,24,78,-21.21,-159.78,75.2,3.36
21,1594439452,US,barrow,90,74,71.29,-156.79,37.4,9.17
22,1594439452,FO,vestmanna,51,87,62.16,-7.17,42.8,1.12
23,1594439452,AU,codrington,99,73,-38.27,141.97,54.36,5.17
24,1594439250,US,jamestown,40,94,42.1,-79.24,71.01,4.7
25,1594439452,NZ,mataura,22,82,-46.19,168.86,48.25,5.86
26,1594439452,CL,punta arenas,84,92,-53.15,-70.92,30.2,9.17
27,1594439452,CA,chapais,90,78,49.78,-74.85,73.4,6.93
28,1594439452,IS,hofn,90,83,64.25,-15.21,49.42,10.78
29,1594439453,MZ,xai-xai,15,69,-25.05,33.64,69.93,13.44
30,1594439453,CZ,dobsice,98,84,48.85,16.08,69.01,3.0
31,1594439430,AU,hobart,90,71,-42.88,147.33,50.0,9.17
32,1594439453,RU,ossora,98,85,59.24,163.07,54.0,7.18
33,1594439453,PT,lagoa,1,80,39.05,-27.98,68.09,11.95
34,1594439453,ZA,saldanha,73,81,-33.01,17.94,51.8,10.29
35,1594439409,AU,busselton,0,52,-33.65,115.33,57.0,11.65
36,1594439453,GM,nioro,93,75,13.35,-15.75,79.63,4.07
37,1594439453,MU,souillac,75,88,-20.52,57.52,66.2,18.34
38,1594439453,US,tooele,1,38,40.53,-112.3,78.8,5.82
39,1594439453,US,fairbanks,1,37,64.84,-147.72,66.2,12.75
40,1594439453,ZA,cape town,75,81,-33.93,18.42,53.01,18.34
41,1594439453,CN,yakeshi,95,32,49.28,120.73,83.71,16.75
42,1594439453,IS,husavik,40,87,66.04,-17.34,44.6,1.79
43,1594439453,US,fortuna,1,87,40.6,-124.16,62.01,10.29
44,1594439453,BR,maceio,40,94,-9.67,-35.74,71.6,4.7
45,1594439453,SJ,longyearbyen,75,81,78.22,15.64,46.4,20.8
